FNODE_ID,F_CROSS,MAX_ADDR,MIN_ADDR,OBJECTID,PRE_DIR,STREET_NAM,STREET_TYP,TNODE_ID,TRANS_ID,T_CROSS,category,cost,description,program,ward,year
6330,1500 W 46TH ST ,4659,4601,25643,S,LAFLIN,ST,1224,125481,1500 W 47TH ST ,Streets & Transportation,3700.0,ON S LAFLIN ST FROM W 46 ST (4600 S) TO W 47 ST (4700 S),Street Speed Hump Menu,3,2012
5946,900 E 41ST ST ,4165,0,10997,S,DREXEL,BLVD,888,124879,900 E 42ND PL ,Streets & Transportation,60751.0,ON S DREXEL BLVD FROM E 41 ST (4114 S) TO E 42 PL (4228 S),Curb & Gutter Menu,4,2012
5961,4135 S ST LAWRENCE AVE ,659,600,39774,E,BOWEN,AVE,873,124913,4133 S LANGLEY AVE ,Streets & Transportation,29629.0,ON E BOWEN AVE FROM S ST LAWRENCE AV (600 E) TO S LANGLEY AV (679 E),Curb & Gutter Menu,4,2012
21629,1031 E 44TH ST ,4466,4400,8547,S,BERKELEY,AVE,6285,125136,1032 E 45TH ST ,Streets & Transportation,4216.0,ON S BERKELEY AVE FROM E 44 ST (4400 S) TO E 45 ST (4500 S),Curb & Gutter Menu,4,2012
24089,4217 S LAKE PARK AVE ,4239,4211,27399,S,GREENWOOD,AVE,28339,124874,1100 E 43RD ST ,Miscellaneous,19903.0,ON 44 FROM S GREENWOOD AV (1100 E) TO S LAKE PARK AV (1175 E),Miscellaneous Other,4,2012
6339,4700 S LANGLEY AVE ,725,700,49703,E,47TH,ST,19613,125716,4700 S EVANS AVE ,Streets & Transportation,16421.0,ON E 47TH ST FROM S LANGLEY AV (700 E) TO S EVANS AV (732 E),Sidewalk Menu,4,2012
3751,499 E   ,531,500,17382,E,OAKWOOD,BLVD,3750,131569,3947 S VINCENNES AVE ,Streets & Transportation,22812.0,ON E OAKWOOD BLVD FROM S VINCENNES AV (544 E) TO S,Sidewalk Menu,4,2012
3750,3947 S VINCENNES AVE ,565,536,44257,E,OAKWOOD,BLVD,12026,131570,601 E   ,Streets & Transportation,22812.0,ON E OAKWOOD BLVD FROM S VINCENNES AV (544 E) TO S,Sidewalk Menu,4,2012
32541,4800 S GREENWOOD AVE ,1159,1100,14398,E,48TH,ST,10482,125610,4800 S WOODLAWN AVE ,Streets & Transportation,28386.0,ON E 48TH ST FROM S GREENWOOD AV (1100 E) TO S WOODLAWN AV (1200 E),Sidewalk Menu,4,2012
9968,1367 E 54TH ST ,5483,5400,27197,S,RIDGEWOOD,CT,23944,147637,  DEAD END  ,Streets & Transportation,11468.0,ON S RIDGEWOOD CT FROM E 54 ST (5322 S) TO Dead End (5384 S),Sidewalk Menu,4,2012
9442,1200 E 52ND ST ,5245,5200,4458,S,WOODLAWN,AVE,13843,126033,1200 E 53RD ST ,Streets & Transportation,4335.0,ON S WOODLAWN AVE FROM E 52 ST (5150 S) TO E 53 ST (5242 S),Sidewalk Menu,4,2012
28548,1100 E 47TH ST ,4759,4700,15956,S,GREENWOOD,AVE,32541,125621,1100 E 48TH ST ,Streets & Transportation,22887.0,ON S GREENWOOD AVE FROM E 47 ST (4700 S) TO E 48 ST (4800 S),Sidewalk Menu,4,2012
1303,5400 S WOODLAWN AVE ,1237,1200,27828,E,54TH,ST,9973,126007,5400 S KIMBARK AVE ,Streets & Transportation,22148.0,ON E 54TH ST FROM S WOODLAWN AV (1200 E) TO S KIMBARK AV (1242 E),Street Resurfacing Menu,4,2012
